,"(TS, TS, TS, TS)","(TS, TS, EF, EF)","(EF, EF, EF, EF)"
0,-9.582406079,-24.58739575,-14.65357185
1,10.50871836,35.18912761,31.71223633
2,26.35272825,-46.10420437,5.875836965
3,-35.49601926,-6.957941542,-19.34370839
4,21.56063714,20.26815978,93.15633849
5,5.765409179,19.40910376,58.18413543
6,-11.55830338,-26.55830338,64.19989906
7,8.246965338,131.0528918,-33.26426878
8,18.61802929,-0.582382993,40.84813271
9,53.09431737,58.145864,21.86215255
10,-40.80800753,13.92068534,30.45809238
11,34.84651924,-41.46535331,58.05979946
12,10.57208353,36.40249031,11.18871442
13,86.6810048,-8.091864967,7.98407732
14,12.32181676,0.2428567,32.09812338
15,37.75109402,-22.44773723,0.952847153
16,3.268946733,12.24227641,18.56894424
17,13.52227741,31.21560609,-22.61104928
18,-7.377715119,-41.45105227,10.58229185
19,28.68713287,-12.06483613,-49.39810278
20,108.5168065,11.18269241,3.272099796
21,33.71667216,17.70961449,3.519026759
22,-17.62920228,70.38572901,99.37328627
23,7.600445602,16.24556503,-24.6574724
24,10.32903782,49.04979063,-10.05461387
25,12.12652097,13.14790298,25.62337489
26,-42.54064215,62.89803021,9.986751662
27,-6.848268277,-32.32351993,27.77598719
28,26.97402981,16.99020716,4.283624948
29,4.051190739,23.9247395,-23.12119703
30,22.1395713,-13.34214202,6.764209851
31,7.495012709,-25.06138799,3.296871628
32,23.74129793,-1.322530007,35.72002195
33,-23.34076656,25.62883918,6.637957457
34,39.62883918,-19.28301747,14.71698253
35,32.79727385,21.42202132,-0.20272615
36,20.14642941,24.57013224,-0.566188672
37,16.36578128,10.10156419,12.32075801
38,5.98377394,-17.71830963,-3.394975917
39,-11.44939475,7.571713071,5.217397395
40,-49.73285953,-50.62027485,-6.3502066
41,7.256361136,-15.02590548,7.441835932
42,12.1473444,6.780361997,-15.52226327
43,63.6016011,-3.398398901,10.49563299
44,-0.966474748,34.89620436,-24.79040007
45,-11.15316816,28.2939589,-18.28305758
46,-7.805597052,-17.04148504,39.5465523
47,-12.20262915,16.133991,26.72204899
48,10.64075228,-10.54110282,-14.47290716
49,12.58440256,30.95293503,27.62883412
50,19.67681559,16.13120401,-8.215443993
51,8.303622337,21.72156483,18.72156483
52,6.016925813,-6.873411018,34.00389434
53,-33.02029116,-15.97070529,12.10240349
54,-37.58788006,21.41211994,18.00592697
55,34.44210604,67.32026109,32.50302851
56,20.96408373,-28.40140225,13.59859775
57,-0.453412612,-21.41824811,8.322960766
58,22.77925393,-17.60304743,31.66842991
59,43.91202269,-0.170165624,-16.2671529
60,12.62640243,-4.537879253,-78.86644262
61,23.955471,26.43505983,-5.717397611
62,5.980284454,-1.918899479,15.84314281
63,33.12325381,-10.4188182,-48.25453651
64,27.31911637,26.01250694,27.31911637
65,7.508987566,-6.374274212,3.067356677
66,3.603038721,-47.75469677,-7.342056432
67,-3.491091247,-12.76126103,22.96294271
68,7.368517699,33.50190348,-4.496523187
69,29.29796571,-4.210920793,-0.511045708
70,34.74417437,21.18383407,-26.8959107
71,19.74218005,11.75692811,-8.116484428
72,-3.984600581,-3.901482212,20.68292595
73,26.77173254,-5.949223923,-35.76551086
74,53.36897932,2.497583663,-22.48705145
75,27.63120701,-10.76603314,-10.95793721
76,13.96613934,-26.04249989,8.862468628
