,EFEFEFEF,TSTSTSTS,TSTSEFEF,EGEDEFTS
,-3.635925297,42.39181664,25.00867614,23.99536524
,-13.09044214,-2.571817521,8.003056918,75.29451705
,22.14798527,-24.35075783,-0.276131384,-38.95355391
,62.0293093,-19.0685034,11.45473034,23.61110066
,-65.18575283,-21.72345533,-4.304505436,42.54156643
,-14.8580674,-10.67675245,-23.41861462,20.59607231
,8.273982649,35.09767851,-28.03569156,9.350785573
,19.64473029,-9.839107226,35.21959047,11.62471901
,7.854158723,22.17250251,26.7090264,40.69971603
,37.26599536,8.623942527,-21.35560162,-14.00165328
,12.1101296,-19.1318754,28.82757833,-9.968022281
,32.4232161,26.67593583,-10.59604981,-26.53654293
,-18.227887,26.92160586,17.66302844,-11.87264711
,-51.83707597,12.58841894,65.37856468,-9.849343981
,-31.96547009,-26.93644028,-0.684928344,26.92249578
,-10.44246063,-17.69934384,17.48967631,11.68739375
,-2.212268345,6.184807636,13.01348561,10.42879355
,19.22274008,20.72320204,15.32740886,-51.73906406
,12.90180581,-31.84933971,-14.8831837,39.20592699
,35.74386663,21.94978354,52.42049909,27.75820668
,48.14760449,23.62944742,-35.57950091,-28.14924071
,-4.03267626,10.72087283,11.98950506,-10.16482803
,21.03110194,38.9099898,15.35739027,8.437990678
,5.681175977,5.304238786,4.243553664,-3.180391244
,-17.9022317,2.419929175,-4.875681083,14.28217017
,-30.01967049,-26.44635453,8.115651938,23.28286738
,25.93305761,2.394816717,42.90015914,12.6779938
,-9.937181107,46.28246743,5.735511299,12.62075273
,10.8494202,-11.03869387,40.3432577,-4.913869319
,2.044234926,-30.60134311,-7.428362839,2.574577347
,53.53704386,23.65191688,36.6506706,1.155282204
,60.95755098,-35.93325886,17.43065105,-46.62172526
,1.321116045,14.98972785,15.62894855,-41.42542265
,-13.94793338,2.222182221,22.01753623,19.45118752
,-5.674323542,-35.77531254,-14.59751924,31.96349365
,18.7259414,43.96559587,41.17236983,-9.820521676
,19.409966,-13.68257274,-7.647704126,102.3335884
,-5.696207045,41.71505902,-28.05694071,-4.70617152
,-3.947762608,49.63005466,34.75070665,-15.26436213
,14.95596156,11.53265142,-1.569881088,-22.7040006
,39.03911336,1.894359791,-4.826351278,-24.81039607
,-6.739197071,-44.99143344,-5.955609006,26.63581245
,-7.051710039,-7.376957145,18.42714373,24.86312847
,10.50851699,-5.870049057,-1.603552113,-4.967383129
,-8.448184647,11.12907598,0.151511343,46.6160954
,4.564902219,-6.021263214,34.4613904,22.45324619
,-3.198471656,-37.11138488,-6.210891813,-11.38759628
,-12.46845155,22.88568108,-10.29766887,27.82344202
,7.184421055,-7.860918311,29.37461334,-4.546753815
,-35.26466827,9.180557093,10.51333952,3.848966802
,13.49909667,53.67957024,-14.79660354,-15.21284779
,16.02792183,-2.180392197,-2.080552531,-22.92987845
,-4.028864966,-3.467787052,13.2339362,53.50372982
,2.515967839,14.47854313,39.21209675,16.38292166
,36.51520943,15.4356319,-15.21815149,0.638997718
,53.61254493,18.07252739,-12.72121517,2.553015253
,10.77391527,4.148168387,27.98972552,-3.33464704
,29.8453239,-4.992951219,-14.41951638,-3.587553322
,-15.79965612,-44.11068912,1.974222872,18.01547271
,-13.99744011,42.45759005,-21.14159121,54.51931747
,34.95233564,-1.982897006,-20.75438692,16.01547271
,56.9812703,-0.056537926,-24.32135296,-3.267157731
,-7.169587192,201.9924106,0.757901938,-2.886309863
,33.23228086,16.36670115,33.04460785,-43.78163157
,-32.15545172,13.92714591,15.76958807,-30.36041767
,7.450745014,14.98125615,-29.81805836,-1.662126878
,-11.26699955,42.2082908,-11.17235082,18.21683182
,-1.167423912,25.33456915,11.13792748,-15.2714174
,11.63369727,17.50995472,-1.532931012,-28.13696372
,46.32105108,7.392007909,20.24388557,12.43926774
,-6.19273216,-10.29442543,50.31309867,8.848918156
,81.84541801,21.06542465,41.57145115,2.96918998
,-6.567574909,22.51540986,-8.463155403,-19.29805778
,-35.26298064,2.423575923,33.23994439,-22.19160797
,-8.48013434,-7.091947644,32.15882583,19.06775128
,29.09505097,21.65473849,-30.81184801,-10.38834741
,-11.17143098,-20.37900154,-9.503505284,34.44125425
,14.82229272,8.904615261,36.33985279,-30.47757233
,-6.943115926,38.9543421,-34.55278496,-11.84432246
,9.320928894,-10.81642386,52.77390125,19.78832978
,55.40331758,-7.486376904,-46.20155792,13.75926694
,-22.78986081,-25.81937407,42.93396772,-3.4467994
,32.42371602,25.44205667,-12.40362818,3.403269893
,34.35247228,-32.27646348,-22.85555222,14.70986193
,12.25966173,25.88766302,-18.60204529,-57.99052699
,4.173587788,27.98213702,5.04051227,-11.66336694
,19.06867006,7.426572674,14.0838214,-2.567349876
,2.384858666,24.16637825,21.25807882,1.37088427
,0.665642405,-3.200550687,28.30676411,37.72984938
,-27.77248786,-11.04275312,29.49878068,-38.30044181
,21.69913656,12.80260588,-7.40568574,6.300494078
,-26.86132374,17.17621424,-40.67197765,35.69955819
,-21.64656057,22.65997989,17.05266185,1.394296371
,-5.109137179,-8.394051682,-3.538917884,6.047335666
,19.53019614,-4.968149547,19.88883023,21.42087101
,-21.42928253,4.758411318,-22.06494388,23.32240078
,-5.437137325,-0.206207489,-56.32456372,-30.13920823
,47.30681258,-6.304362078,21.44949855,11.6460963
,7.879548565,7.32455917,-22.94006142,-39.07768455
,13.56780663,8.830575474,-18.69091332,17.84960531
,7.231374703,27.85195385,8.921421374,31.68099967
,19.41583007,-17.39767165,-89.02162506,8.488570125
,54.95597603,-27.97399958,-11.49935411,22.85832584
,39.63263475,-30.72709596,-39.75599486,-29.49038593
,-37.11808815,-17.0000268,-0.552480145,-15.86907369
,-21.18268188,-28.46020452,6.138080311,42.21681245
,2.476022133,24.34577802,21.5224102,23.37833733
,16.50941788,-33.08740528,-14.6126306,-35.11105496
,41.48788251,-12.33460647,0.717338707,21.28497994
,47.54387679,30.05110464,41.92711606,33.04656636
,7.80089107,5.241625355,30.9539781,-17.29399905
