,Solo,Sensitive,Naive,Adjust
0,33.12513722,26.02018282,10.0026207,-15.70071328
1,37.86757096,-19.65786915,-36.75222203,31.69768492
2,83.7471531,47.02082304,-20.84162619,30.58166655
3,9.434210556,-7.338974799,21.86202502,31.73878783
4,25.52605997,20.54851458,134.7410866,65.50437491
5,26.08495975,43.35734052,53.60471015,-22.42626756
6,16.04665736,15.42177903,106.6607877,-9.981530942
7,10.58419778,2.346423015,109.2645967,19.42730898
8,10.30556116,22.69231065,133.3851757,12.42592514
9,2.20979855,35.91116447,-10.71106245,-70.24630026
10,12.90216548,-18.76387582,49.93714128,7.737076128
11,17.47180488,42.38517572,89.66166537,6.133145831
12,-23.31806687,39.21671123,-0.91351753,6.249643065
13,1.134350893,-12.4440881,19.53830988,46.0808871
14,-22.45177646,-3.587196341,-2.631766203,-24.91772482
15,46.8902804,11.36511152,95.50859743,-37.80334137
16,17.51895332,40.02746994,56.72700387,-5.603087212
17,94.33805781,26.92986022,5.860527365,-0.502855924
18,-21.74156703,19.33423675,65.79321486,33.37467123
19,-40.73425228,13.59485866,-3.440852943,-14.5091105
20,28.16539574,0.076955465,236.1957165,-20.16778272
21,-23.44655605,7.78607456,48.79299527,-8.861886047
22,34.24370236,-3.728366763,21.13450895,2.508676016
23,-12.0403515,38.98109739,875.8125276,10.87864439
24,7.598308515,6.498421464,2.680119977,22.07331249
25,22.45770555,0.725482606,4.387059356,64.79301699
26,69.56973723,-50.21638411,43.57509805,19.07331249
27,8.020806834,7.46226707,20.27438098,-42.26146274
28,12.20132467,38.73982618,36.11205231,38.93937102
29,58.99600964,40.56722522,116.1818045,-23.16988026
30,41.91266783,30.00977844,-22.16988026,-23.32258264
31,-43.67044564,14.95526108,24.39086973,10.32683102
32,27.48819441,15.23423721,46.79936148,0.397709877
33,15.92003882,60.19276571,72.68929307,-43.36897715
34,39.85970015,9.626082426,886.148575,15.26276125
35,35.48819441,48.21816541,71.0772476,18.05995208
36,-13.55380623,41.9864286,34.9167826,-6.991356152
37,30.67329574,10.83189163,726.5431758,25.55817775
38,99.93257756,-9.60421674,18.02027048,-48.83282102
39,-0.224757684,3.764802222,543.7457339,10.6164864
40,53.05712798,37.23761942,9.364117671,14.96539584
41,-4.15657947,12.09767925,404.6251551,19.47982815
42,14.91838968,-7.307246312,8.896309956,17.19992602
43,-6.240903717,7.372864384,96.68677159,-5.024408038
44,27.29762108,48.25384401,104.1883958,10.69706481
45,-24.98423166,70.25345127,1.157963231,30.86658866
46,0.054817851,4.616960295,41.34074178,6.551120819
47,55.2587132,61.06646236,92.44044018,-5.634272687
48,5.028094967,12.26411659,16.87054045,10.60257057
49,2.202655819,18.88099691,4.672719144,11.52827496
50,24.42079513,56.96419126,222.8393997,27.64512649
51,29.94498258,24.578214,27.47719092,32.6800004
52,8.828696059,-9.125944019,156.9433652,13.33988499
53,-19.57566679,-17.81875159,22.89757418,134.9212142
54,39.00981831,0.042152218,187.8614911,-0.69720919
55,57.95444073,24.42372028,44.27655432,14.40352523
56,24.90603784,-13.91222645,195.1504626,23.60088958
57,14.32403142,35.15046261,0.98271051,-9.464489701
58,22.55536956,14.32055359,68.41096884,43.52912994
59,-3.606541655,42.0000266,-19.63135393,12.06537659
60,36.02458005,17.08251665,117.1503747,26.22409528
61,-5.804815224,25.61821632,53.58429406,-27.83544803
62,23.67900417,32.52710503,84.0104905,20.85530907
63,32.32139819,-16.04731831,44.73914403,29.49353923
64,28.5236431,41.36207509,294.7863901,-1.173167504
65,44.31506877,34.41629034,152.2622009,-13.15997039
66,-1.425516411,57.96768155,66.71970233,-7.463791624
67,89.68959892,35.84374739,7.671926842,35.47600156
68,23.23503071,-13.13772888,148.303368,22.89813906
69,-22.48694081,13.33277892,212.3042541,17.06980258
70,-6.974757836,9.203049495,71.15764098,2.42007403
71,12.5749181,-37.87890457,61.5459249,25.32951259
72,-32.57722741,22.39065867,31.75460917,-51.16198117
73,16.12166985,42.52352114,75.03743381,28.51565794
74,31.27627206,-10.39904394,57.45519558,-25.82255013
75,35.4178219,81.63288357,37.73985422,15.79348483
76,-14.14276772,-6.342228103,43.59028145,-3.413819388
77,30.17869952,16.20039448,37.28983149,-32.86113706
78,8.955614652,28.06926551,89.34383803,-17.24886021
79,33.38519818,29.27333457,30.874407,-7.805365842
80,0.981174186,0.860414483,276.5645119,19.54005091
81,-7.829121565,-5.181850632,313.2513345,-10.33856909
82,12.29017773,23.27376059,341.8849157,29.2869421
83,-27.30437785,0.727194085,-15.71630923,-7.636832905
84,19.46978836,10.14515141,45.97954009,2.922890842
