,Solo,Sensitive,Naive,Adjust
0,21.01972704,-11.55581318,17.01187752,42.11771661
1,223.9225339,4.019727042,43.15064935,-18.86330114
2,10.15772496,-9.25238291,26.73326518,26.58218473
3,-6.906369697,8.446803323,85.58519957,-14.98025022
4,18.50968452,-0.149526169,-6.55067963,-11.50828135
5,24.2586723,28.68724605,174.3428081,11.58665773
6,33.49897308,3.627050101,49.34015112,26.55040144
7,-2.024561042,21.49128456,49.43787559,22.59806654
8,64.41336597,39.69700787,-13.81156911,40.29984396
9,-1.817579312,0.256624838,7.728644159,13.31815061
10,15.67725797,36.53144873,-9.786784888,-19.15779794
11,-21.72265606,23.72684822,82.5885396,8.988010044
12,49.0158195,56.45384657,151.7480257,-16.60403325
13,0.413174592,24.25552498,172.6918489,23.69184895
14,5.31170169,17.63567224,0.015819496,-5.364327762
15,16.74802566,14.95964279,7.035286609,-1.493833436
16,58.33403678,-7.186217364,206.4212024,-6.616837453
17,33.73244152,4.640627477,-13.78157224,-20.5854583
18,13.02862225,2.73581466,1.686140971,10.03380412
19,4.028622248,31.19662403,64.75897862,-4.859539175
20,4.931755744,16.46203241,20.44422939,7.133232236
21,-2.138105546,41.51570428,136.2533096,-2.755951872
22,27.80657376,9.27868461,30.16792714,10.83640462
23,13.56706928,33.68360136,44.24145346,32.2977159
24,61.15793762,25.89176475,-1.857190756,-20.45691316
25,18.85549297,40.38902715,-9.297068007,-14.45691316
26,8.296868935,-7.688002694,1.831311775,4.219839089
27,8.466056996,-9.533943004,13.15793762,27.86633459
28,26.37292678,44.13495448,-19.91745706,-11.80509238
29,6.739814688,13.58643435,16.25946212,2.37396701
30,12.47398669,-25.44269315,-27.58093702,-17.80509238
31,20.47398669,4.317794518,31.9474343,15.7418221
32,8.399294269,17.49763318,419.7058573,-3.103020383
33,34.31293209,27.14089092,233.9406465,25.35788484
34,10.48542872,-34.5141558,367.5344123,7.066503995
35,-9.422366226,-22.20580424,113.0547565,43.19963189
36,19.43401944,12.66411146,12.49953417,16.26523094
37,22.0555783,1.673289785,230.5121075,33.46633464
38,-3.386801372,22.73167801,35.47710637,22.17037958
39,-30.93581971,4.723149303,6.229333917,-28.36260724
40,9.910383475,-0.809998323,-16.33428412,-13.97069698
41,22.81830634,3.623103126,18.02930302,-27.08781965
42,23.18179066,9.61457162,-1.334284117,42.44779945
43,-6.220032405,25.39910681,-17.27034237,-5.80416325
44,-16.374149,83.0578626,9.387560369,-9.095339681
45,-15.52965488,16.33378328,-1.187177417,-13.32893149
46,-23.13753451,3.015833286,39.75501804,19.58998749
47,38.9429944,27.10791298,25.12170251,52.68474648
48,-23.08542869,1.528350785,206.8575704,13.57277035
49,29.43582438,16.93184288,41.78038775,4.235941654
50,10.17467504,-14.76796367,436.8375322,-8.415801171
51,18.69416579,29.80123328,209.0061154,7.489565931
52,-0.988094677,17.48994,-3.720944647,25.65493836
53,28.24180536,10.53741661,72.15603879,4.406594121
54,19.2089347,8.432613972,36.19825953,41.6305275
55,-15.67669154,18.19293118,18.75355033,8.732255323
56,-20.42369063,-11.97646739,174.3609586,-4.997924808
57,86.76743544,1.007340446,298.1264496,26.61575099
58,14.68480189,23.01284048,12.29457492,12.00734045
59,29.81998068,17.97067387,177.3015747,2.167637154
60,22.43709547,19.46993578,73.77859074,34.33039723
61,20.92067532,6.469935778,19.07441059,-17.90830683
62,28.49929549,28.43709547,23.17488856,14.28022778
63,34.63346385,50.51297116,5.107250893,0.019196238
64,23.9240509,15.80927656,6.161738951,12.70727497
65,-11.90045264,-3.373737433,-2.83554793,3.74646315
66,41.97872496,12.15902583,-13.90247673,-30.13062315
67,27.40442321,0.456814169,21.51420134,51.51420134
68,1.397374051,27.83907908,30.79516709,27.56714962
69,14.64890654,-10.43674329,150.4500203,8.632085981
70,-6.977565267,-4.245713412,24.40508075,16.38073309
71,21.30502468,28.19872635,214.7354774,8.30909205
72,9.043079243,-39.8558933,232.6754678,7.565057789
73,23.12022648,-12.67277977,4.743232485,-25.28955368
74,8.942941079,11.84359192,190.1536063,14.72955147
75,62.85211283,-7.657641734,-16.93304053,4.627066983
76,-12.86030343,7.021267295,71.5515395,-11.97669831
77,12.37592998,14.34561804,576.1233517,-31.61097576
78,17.99369437,32.78777291,71.16797412,7.404832677
79,-17.74187415,-21.29067753,416.1820096,14.90549756
80,16.50607086,27.00534237,24.36640527,-9.799972133
81,29.50607086,11.00534237,27.1811558,0.634843438
82,14.99590634,0.912717637,21.6537155,5.542218705
83,47.64427947,13.63484344,-4.237493282,30.08117707
84,40.89516114,-4.104838863,16.66800362,-24.47024797
85,24.40133808,-11.80607425,-16.18383725,23.78321796
86,45.82910033,2.127281255,20.79145497,23.36427641
87,34.21863353,6.826607803,-26.87271874,10.10257347
88,14.41424727,13.6791784,9.009062994,-9.504166061
89,73.26504884,3.89820479,27.81186548,-13.29932967
90,45.49192926,11.82110662,15.15368124,-1.349969728
91,20.49583394,-3.060177959,15.0630481,37.1158504
92,8.858378609,15.00658375,58.9548485,-19.04320964
93,66.05228815,20.15128858,25.24425816,19.93423133
94,21.30367676,-26.74740135,-19.86339539,-1.021034032
95,31.02720091,21.27187593,3.316610572,10.55461688
96,-5.830056882,-9.719134582,67.56076231,31.30001819
97,95.62493143,34.51953908,489.3854713,10.67848319
98,32.85957183,18.68266189,398.3600338,5.159119724
99,20.5667111,49.08796328,223.9667439,27.12857837
100,-30.91137503,59.76484915,96.18865079,8.620554802
101,4.680456744,-1.676493633,106.2556342,-1.274924459
102,9.179300915,17.80827257,-12.23030566,15.93915111
103,-3.486111957,36.93319669,70.06248205,46.05694696
104,3.343868513,8.68255894,103.7465384,-3.940597902
105,26.51902712,101.291432,20.21965986,-23.8312901
106,30.34180418,20.65029274,63.42101444,15.4317949
107,19.47523747,30.93738132,82.62935997,7.835825748
108,72.00025774,-1.485546056,12.58644185,-16.78260234
109,4.789173248,-34.69695746,3.235182316,23.8258437
110,32.22607767,-2.773922332,32.74862697,34.2618939
111,36.65723641,22.96956766,9.375030447,-9.373011867
112,13.93488243,13.05449167,10.67219022,17.19437224
113,0.328722327,6.810828186,31.65049312,-27.91006416
