,TS,EG,EF,ED,
0,2.647835339,23.22456292,38.49943125,-35.99385596,
1,8.398838769,10.98513776,46.1127348,-1.131729674,
2,-8.161906168,20.17747871,-19.05798084,-6.206739165,
3,13.23945702,68.75406873,-14.9141156,19.44230039,
4,46.39108101,-24.19380528,-1.581573894,-2.814068155,
5,41.79159986,37.58695984,-14.84620886,47.15379114,
6,-9.815076673,-8.65435054,-24.97953223,-10.73245674,
7,6.065891504,-16.30068048,48.93172647,33.69931952,
8,-3.714491865,25.40481859,6.542375709,-9.965225402,
9,-2.408127476,23.70012034,47.97519781,-2.623849515,
10,1.253447271,15.35319648,-16.40812748,19.92318577,
11,-0.630800415,15.34773935,27.58119604,-9.293950765,
12,26.571533,2.715298333,44.87627877,4.513682751,
13,24.54442045,35.95942777,-16.25554305,-9.686506108,
14,-28.01662463,23.0446326,-22.18682164,-30.04747711,
15,19.22703945,17.39960625,-10.28975353,60.44716348,
16,8.449423429,4.882976544,-13.91485059,-9.653084043,
17,2.771104247,15.53711709,-5.517586402,16.42508665,
18,-13.47419305,-39.02474301,-28.87507442,-11.54213901,
19,19.42508665,-2.994908596,20.15601217,20.20383432,
20,80.36275913,-1.883280708,-7.241241496,12.11512195,
21,-4.732898888,9.328558286,16.81887527,29.45458501,
22,31.559463,16.21402389,115.0722779,11.47193686,
23,34.85880632,29.30010869,2.090546357,219.0355475,
24,-17.17991568,-16.74334809,41.15929986,-1.703474501,
25,-3.59209525,5.074495975,5.5571804,42.06727664,
26,-7.03534728,40.16416894,-9.439860751,31.19178049,
27,2.206055273,-3.318974508,4.803580768,7.96465272,
28,3.073246137,23.19203687,18.71610044,1.107540078,
29,1.11066829,-20.11406427,-6.199903881,55.52222948,
30,42.10754008,58.0153882,-28.49323828,1.773242164,
31,65.48038587,36.30580374,22.95446647,-7.050061742,
32,16.09080674,26.76674001,1.474972302,6.903529885,
33,63.70183983,4.248142134,-10.24452975,-65.22049185,
34,13.99495679,30.74925303,14.74220874,27.29682681,
35,-27.91520274,-30.1081862,0.532721641,-12.57634409,
36,-18.48776973,6.121999226,-27.66487934,38.99765019,
37,-12.69618904,12.52220879,20.20497243,4.515305364,
38,-11.6398611,15.63696178,13.72719771,6.73853672,
39,-6.909543433,54.90431584,-8.876264875,1.553807436,
40,5.281400443,9.85977127,64.0655512,25.37722216,
41,30.83905218,-26.93616115,55.09662155,-23.11881477,
42,40.49142447,15.83554562,42.78927458,2.399733484,
43,-20.62892964,120.3307253,42.56755935,49.65582944,
44,18.2941664,36.51459935,5.739493833,11.30589527,
45,30.05040112,-5.631148064,-7.740731184,-18.59630239,
46,-22.25679191,31.73949383,25.22622198,7.446749462,
47,20.79201006,10.05040112,5.756819825,-6.7469387,
48,-2.754971861,1.68356327,12.03856749,14.24155945,
