,Solo,Sensitive,Naive,Adjust
0,17.15411304,-23.56654953,9.996897969,26.56034547
1,21.35914076,87.74971265,76.99886277,-6.280581245
2,5.947594927,18.49084141,16.96693206,33.12867709
3,48.64828514,19.94800015,46.86834984,12.64828514
4,12.58188352,56.15086539,26.2956799,40.44741812
5,49.90583932,13.60928659,33.31273386,45.7196284
6,17.04795719,9.644693946,51.80268287,12.38310343
7,12.97436045,34.24461062,21.21981449,13.96774815
8,39.63683504,-10.50932129,-13.81464495,-1.286834049
9,33.99193889,-13.33048755,-13.57258317,21.10499039
10,49.68616941,263.1668056,65.47662693,-1.841146488
11,-18.916871,31.80416016,-9.198009805,17.75477207
12,1.105730781,1.83878558,-18.09343362,13.06123991
13,-7.040399862,-46.3095577,-9.679236081,41.53883418
14,-5.596846352,7.717946374,26.57751244,-2.562921504
15,15.22202299,27.14054551,167.1405455,40.26967626
16,29.59023145,36.26358272,30.37246563,-2.934129293
17,90.80384564,-7.475407451,-8.345089342,-1.419556833
18,-0.786932482,26.13711871,-0.478071055,-9.657818039
19,19.29111822,45.37248863,14.13414243,36.64575499
20,32.98723844,43.46944763,-16.53055237,40.9160752
21,-7.243031545,-1.580668448,36.71358896,9.44277711
22,30.9160752,26.27029732,19.51352614,54.35845433
23,-7.765284297,0.624519435,-6.291571995,32.30587894
24,114.9997369,51.32148232,56.10698537,115.2464084
25,9.554377609,15.68006913,32.72664479,4.841489583
26,-8.718699541,46.70839676,10.53000973,60.75646522
27,-17.15942956,127.9666684,-6.261724882,19.02178316
28,5.045642421,17.3799969,-9.018448085,-30.01844809
29,14.52654695,132.258234,147.380158,24.06311554
30,8.159313833,58.41194493,8.0591186,102.2887486
31,15.54739315,-52.45905296,-59.97303983,-30.53433879
32,-22.85574859,38.28514299,15.17793332,-13.27842331
33,18.00217229,22.56365928,19.92675555,-27.99223274
34,10.03757166,-52.28076651,17.44291324,-53.59910469
35,32.18573281,10.49382199,22.89279013,49.73616591
36,210.980954,20.40437039,18.74310347,11.19266221
37,40.40153244,9.947752128,-15.84328925,9.855312753
38,23.93327703,141.8534751,150.2989321,18.86559576
39,22.38935519,7.53739886,-2.8192603,55.74601435
40,-18.16833187,1.524150494,46.16642007,-28.71017586
41,5.382594878,45.2821693,1.890963676,-7.550454736
42,80.70987642,7.527669717,-21.78422851,32.69808628
43,34.53182114,29.53182114,10.1400615,20.42807652
44,-30.55893697,27.58711218,202.7646598,10.0663491
45,-27.81798649,5.17547386,15.23118376,39.26727472
46,2.137747964,121.9817893,45.12657503,-21.75983099
47,-7.988394103,77.33151658,-10.47202235,28.12997041
48,103.3894511,-19.45154481,-14.73775209,63.56263009
49,2.283724603,62.7895786,20.08368443,12.73073734
50,11.38564828,-8.264474059,-26.91145066,-32.39449853
51,11.60708849,51.60625761,22.8593734,-5.389255646
52,-70.06109298,42.64759062,210.4507483,-12.55714589
53,27.84443295,33.28539733,117.4113628,72.90741566
54,-18.39179492,13.51373101,-29.48626899,-9.793373759
55,241.7171581,39.88330658,-35.31380043,15.28062969
56,25.21038963,13.27428163,-1.718538043,26.64327295
57,-11.62877646,11.84821109,52.93607713,-10.97605683
58,-34.14345864,57.45713538,11.35325567,-3.802563894
59,-8.495475472,8.617947864,18.7952632,1.979758858
60,-3.314598828,8.685401172,44.87305383,12.68540117
61,-7.796397207,32.93549647,55.08034703,-30.82181245
62,35.95754059,2.998969787,-1.395828856,2.020091477
63,5.418677259,19.54578638,-14.85533848,-38.95702578
64,96.19286949,-24.26934151,66.64925185,-23.81295915
65,-39.90338223,-21.82397168,14.21794109,-17.2548529
66,130.7238662,86.2184695,13.00495474,-21.22748684
67,-19.14753911,109.0276765,78.36378637,19.8977628
